tree	node	distance	d-025	d-975	brLen	speed	x-005	x-095	slower	faster
joyce2023	195	5459.282	2522.348	9993.271	11.628	469.498	4222.732	11775.169	0.226	0.006
joyce2023	196	18658.264	11662.636	27737.253	38.750	481.504	17075.826	30913.294	0.342	0.006
joyce2023	197	7300.723	2654.371	11807.366	8.125	898.551	3368.091	9913.115	0.052	0.128
joyce2023	198	4630.029	1800.657	9731.481	8.125	569.850	3233.466	9962.202	0.209	0.022
joyce2023	199	9687.938	4564.642	16800.863	19.375	500.023	7178.595	17074.875	0.224	0.022
joyce2023	200	1452.884	226.985	3940.275	2.500	581.154	555.975	4336.608	0.116	0.016
joyce2023	201	8584.998	4110.125	15688.309	16.875	508.741	6413.857	16083.295	0.236	0.019
joyce2023	202	1149.327	186.830	2894.400	1.250	919.461	333.585	2891.072	0.070	0.026
joyce2023	203	7660.051	3203.928	14122.644	15.625	490.243	5956.931	14769.777	0.275	0.016
joyce2023	204	8136.127	3946.068	14741.316	15.625	520.712	5930.654	15192.820	0.207	0.018
joyce2023	205	5553.107	2098.008	11241.821	9.375	592.331	3831.530	10718.442	0.216	0.037
joyce2023	206	2825.019	923.621	5861.169	4.375	645.719	1664.654	6804.294	0.146	0.008
joyce2023	207	6456.368	3115.139	12735.279	13.750	469.554	4561.275	13415.969	0.181	0.015
joyce2023	208	6531.966	3217.023	12779.585	13.750	475.052	4606.580	13210.421	0.173	0.018
joyce2023	209	1335.059	222.645	3340.489	1.875	712.031	444.780	3780.632	0.093	0.012
joyce2023	210	7922.536	4048.667	14922.156	16.250	487.541	6355.294	15507.042	0.258	0.017
joyce2023	211	2126.840	706.831	4211.287	1.875	1134.314	1221.846	4539.230	0.131	0.013
joyce2023	212	6619.818	3211.540	13217.339	14.375	460.509	4649.710	13406.424	0.175	0.022
joyce2023	213	6580.204	3241.469	13117.797	14.375	457.753	4735.831	14264.295	0.191	0.011
